Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
pre_prosthesis_types,pretreatment_beta,,checkbox,Types of prosthesis,"1, Prosthetic valve | 2, Vascular shunt | 3, Ventricular assist device | 4, Pacemaker or wires | 5, Prosthetic joint | 6, Spinal rod(s) | 7, Bone plates | 8, Screws or nails | 9, Cochlear implant | 10, Ventriculo-peritoneal or pleural drain | 11, Lumbar drain | 12, Biobrane | 13, Endotracheal tube/tracheostomy | -4, Other endovascular prosthesis | -3, Other osteoarticular prosthesis | -2, Other drain | -1, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_has_prosthesis] = ""1""",y,,,,,
pre_prosthesis_endo_other,pretreatment_beta,,text,Please specify Other endovascular prosthesis,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_prosthesis_types(-4)] = ""1""",y,,,,,@CHARLIMIT='50'
pre_prosthesis_osteo_other,pretreatment_beta,,text,Please specify Other osteoartciular prosthesis,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_prosthesis_types(-3)] = ""1""",y,,,,,@CHARLIMIT='50'
pre_prosthesis_drain_other,pretreatment_beta,,text,Please specify Other drain,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_prosthesis_types(-2)] = ""1""",y,,,,,@CHARLIMIT='50'
pre_prosthesis_other,pretreatment_beta,,text,Please specify Other prosthesis,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_prosthesis_types(-1)] = ""1""",y,,,,,@CHARLIMIT='50'
pre_pt_indications,pretreatment_beta,,checkbox,Indication for phage therapy,"1, Intolerance of standard therapy due to side effects | 2, Failure of standard therapy | 3, Extensive drug resistance profile of target pathogen(s) | 0, Other (to be specified)",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_pt_indications_other,pretreatment_beta,,text,Specify other indication for phage therapy,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pt_indications(0)] = '1'",y,,,,,@CHARLIMIT='50'
pre_num_target_pathogen,pretreatment_beta,Pathogen Section,radio,How many target pathogens have been identified?,"1,1 | 2,2 | 3,3 | 4,4 | 5,5",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_pth1_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Pathogen 1</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 0",,,,,,
pre_pth1_target,pretreatment_beta,,radio,[Pathogen 1] Target,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 0",y,,,,,
pre_pth1_species,pretreatment_beta,,text,[Pathogen 1] Full Genus Species,,e.g. Salmonella enterica,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target] > 10",y,,,,,@CHARLIMIT='50'
pre_pth1_is_esbl,pretreatment_beta,,yesno,[Pathogen 1] ESBL?,,,,,,,"[sc_meets_inclusion] = ""1"" and ([pre_pth1_target] = ""1"" or [pre_pth1_target] = ""11"")",y,,,,,
pre_pth1_is_mrsa,pretreatment_beta,,yesno,[Pathogen 1] MRSA?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target] = ""4""",y,,,,,
pre_pth1_is_vre,pretreatment_beta,,yesno,[Pathogen 1] VRE?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target] = ""16""",y,,,,,
pre_pth1_status,pretreatment_beta,,radio,[Pathogen 1] Confirmed or Suspected pathogen?,"confirmed, Confirmed (isolated from site of infection) | suspected, Suspected",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target]",y,,,,,
pre_pth1_iso_site,pretreatment_beta,,checkbox,[Pathogen 1] Site(s) of isolation,"1, Blood | 2, Sputum/endotracheal aspirate | 3, BAL fluid | 4, Joint aspirate/washout fluid | 5, Non-operative aspirate | 6, CSF | 7, Urine | 11, Intra-operative pus | 12, Intra-operative tissue | 13, Non-operative swab",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target]",y,,,,,
pre_pth1_iso_site_pus,pretreatment_beta,,text,[Pathogen 1] Specify Intra-operative pus site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_iso_site(11)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth1_iso_site_tissue,pretreatment_beta,,text,[Pathogen 1] Specify Intra-operative tissue type,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_iso_site(12)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth1_iso_site_swab,pretreatment_beta,,text,[Pathogen 1] Specify Non-operative swab site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_iso_site(13)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth1_has_wgs,pretreatment_beta,,yesno,[Pathogen 1] Is WGS data available?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target]",y,,,,,
pre_pth1_wgs_loc,pretreatment_beta,,notes,[Pathogen 1] Where is the WGS data stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_has_wgs] = '1'",y,,,,,
pre_pth1_has_isolate,pretreatment_beta,,yesno,[Pathogen 1] Is the isolate available for further testing?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_target]",y,,,,,
pre_pth1_isoloc,pretreatment_beta,,notes,[Pathogen 1] Where is the isolate stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth1_has_isolate] = '1'",y,,,,,
pre_pth2_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Pathogen 2</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 1",,,,,,
pre_pth2_target,pretreatment_beta,,radio,[Pathogen 2] Target,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 1",y,,,,,
pre_pth2_species,pretreatment_beta,,text,[Pathogen 2] Full Genus Species,,e.g. Salmonella enterica,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target] > 10",y,,,,,@CHARLIMIT='50'
pre_pth2_is_esbl,pretreatment_beta,,yesno,[Pathogen 2] ESBL?,,,,,,,"[sc_meets_inclusion] = ""1"" and ([pre_pth2_target] = ""1"" or [pre_pth2_target] = ""11"")",y,,,,,
pre_pth2_is_mrsa,pretreatment_beta,,yesno,[Pathogen 2] MRSA?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target] = ""4""",y,,,,,
pre_pth2_is_vre,pretreatment_beta,,yesno,[Pathogen 2] VRE?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target] = ""16""",y,,,,,
pre_pth2_status,pretreatment_beta,,radio,[Pathogen 2] Confirmed or Suspected pathogen?,"confirmed, Confirmed (isolated from site of infection) | suspected, Suspected",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target]",y,,,,,
pre_pth2_iso_site,pretreatment_beta,,checkbox,[Pathogen 2] Site(s) of isolation,"1, Blood | 2, Sputum/endotracheal aspirate | 3, BAL fluid | 4, Joint aspirate/washout fluid | 5, Non-operative aspirate | 6, CSF | 7, Urine | 11, Intra-operative pus | 12, Intra-operative tissue | 13, Non-operative swab",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target]",y,,,,,
pre_pth2_iso_site_pus,pretreatment_beta,,text,[Pathogen 2] Specify Intra-operative pus site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_iso_site(11)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth2_iso_site_tissue,pretreatment_beta,,text,[Pathogen 2] Specify Intra-operative tissue type,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_iso_site(12)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth2_iso_site_swab,pretreatment_beta,,text,[Pathogen 2] Specify Non-operative swab site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_iso_site(13)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth2_has_wgs,pretreatment_beta,,yesno,[Pathogen 2] Is WGS data available?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target]",y,,,,,
pre_pth2_wgs_loc,pretreatment_beta,,notes,[Pathogen 2] Where is the WGS data stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_has_wgs] = '1'",y,,,,,
pre_pth2_has_isolate,pretreatment_beta,,yesno,[Pathogen 2] Is the isolate available for further testing?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_target]",y,,,,,
pre_pth2_isoloc,pretreatment_beta,,notes,[Pathogen 2] Where is the isolate stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth2_has_isolate] = '1'",y,,,,,
pre_pth3_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Pathogen 3</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 2",,,,,,
pre_pth3_target,pretreatment_beta,,radio,[Pathogen 3] Target,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 2",y,,,,,
pre_pth3_species,pretreatment_beta,,text,[Pathogen 3] Full Genus Species,,e.g. Salmonella enterica,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target] > 10",y,,,,,@CHARLIMIT='50'
pre_pth3_is_esbl,pretreatment_beta,,yesno,[Pathogen 3] ESBL?,,,,,,,"[sc_meets_inclusion] = ""1"" and ([pre_pth3_target] = ""1"" or [pre_pth3_target] = ""11"")",y,,,,,
pre_pth3_is_mrsa,pretreatment_beta,,yesno,[Pathogen 3] MRSA?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target] = ""4""",y,,,,,
pre_pth3_is_vre,pretreatment_beta,,yesno,[Pathogen 3] VRE?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target] = ""16""",y,,,,,
pre_pth3_status,pretreatment_beta,,radio,[Pathogen 3] Confirmed or Suspected pathogen?,"confirmed, Confirmed (isolated from site of infection) | suspected, Suspected",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target]",y,,,,,
pre_pth3_iso_site,pretreatment_beta,,checkbox,[Pathogen 3] Site(s) of isolation,"1, Blood | 2, Sputum/endotracheal aspirate | 3, BAL fluid | 4, Joint aspirate/washout fluid | 5, Non-operative aspirate | 6, CSF | 7, Urine | 11, Intra-operative pus | 12, Intra-operative tissue | 13, Non-operative swab",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target]",y,,,,,
pre_pth3_iso_site_pus,pretreatment_beta,,text,[Pathogen 3] Specify Intra-operative pus site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_iso_site(11)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth3_iso_site_tissue,pretreatment_beta,,text,[Pathogen 3] Specify Intra-operative tissue type,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_iso_site(12)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth3_iso_site_swab,pretreatment_beta,,text,[Pathogen 3] Specify Non-operative swab site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_iso_site(13)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth3_has_wgs,pretreatment_beta,,yesno,[Pathogen 3] Is WGS data available?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target]",y,,,,,
pre_pth3_wgs_loc,pretreatment_beta,,notes,[Pathogen 3] Where is the WGS data stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_has_wgs] = '1'",y,,,,,
pre_pth3_has_isolate,pretreatment_beta,,yesno,[Pathogen 3] Is the isolate available for further testing?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_target]",y,,,,,
pre_pth3_isoloc,pretreatment_beta,,notes,[Pathogen 3] Where is the isolate stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth3_has_isolate] = '1'",y,,,,,
pre_pth4_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Pathogen 4</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 3",,,,,,
pre_pth4_target,pretreatment_beta,,radio,[Pathogen 4] Target,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 3",y,,,,,
pre_pth4_species,pretreatment_beta,,text,[Pathogen 4] Full Genus Species,,e.g. Salmonella enterica,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target] > 10",y,,,,,@CHARLIMIT='50'
pre_pth4_is_esbl,pretreatment_beta,,yesno,[Pathogen 4] ESBL?,,,,,,,"[sc_meets_inclusion] = ""1"" and ([pre_pth4_target] = ""1"" or [pre_pth4_target] = ""11"")",y,,,,,
pre_pth4_is_mrsa,pretreatment_beta,,yesno,[Pathogen 4] MRSA?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target] = ""4""",y,,,,,
pre_pth4_is_vre,pretreatment_beta,,yesno,[Pathogen 4] VRE?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target] = ""16""",y,,,,,
pre_pth4_status,pretreatment_beta,,radio,[Pathogen 4] Confirmed or Suspected pathogen?,"confirmed, Confirmed (isolated from site of infection) | suspected, Suspected",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target]",y,,,,,
pre_pth4_iso_site,pretreatment_beta,,checkbox,[Pathogen 4] Site(s) of isolation,"1, Blood | 2, Sputum/endotracheal aspirate | 3, BAL fluid | 4, Joint aspirate/washout fluid | 5, Non-operative aspirate | 6, CSF | 7, Urine | 11, Intra-operative pus | 12, Intra-operative tissue | 13, Non-operative swab",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target]",y,,,,,
pre_pth4_iso_site_pus,pretreatment_beta,,text,[Pathogen 4] Specify Intra-operative pus site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_iso_site(11)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth4_iso_site_tissue,pretreatment_beta,,text,[Pathogen 4] Specify Intra-operative tissue type,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_iso_site(12)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth4_iso_site_swab,pretreatment_beta,,text,[Pathogen 4] Specify Non-operative swab site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_iso_site(13)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth4_has_wgs,pretreatment_beta,,yesno,[Pathogen 4] Is WGS data available?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target]",y,,,,,
pre_pth4_wgs_loc,pretreatment_beta,,notes,[Pathogen 4] Where is the WGS data stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_has_wgs] = '1'",y,,,,,
pre_pth4_has_isolate,pretreatment_beta,,yesno,[Pathogen 4] Is the isolate available for further testing?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_target]",y,,,,,
pre_pth4_isoloc,pretreatment_beta,,notes,[Pathogen 4] Where is the isolate stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth4_has_isolate] = '1'",y,,,,,
pre_pth5_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Pathogen 5</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 4",,,,,,
pre_pth5_target,pretreatment_beta,,radio,[Pathogen 5] Target,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_num_target_pathogen] > 4",y,,,,,
pre_pth5_species,pretreatment_beta,,text,[Pathogen 5] Full Genus Species,,e.g. Salmonella enterica,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target] > 10",y,,,,,@CHARLIMIT='50'
pre_pth5_is_esbl,pretreatment_beta,,yesno,[Pathogen 5] ESBL?,,,,,,,"[sc_meets_inclusion] = ""1"" and ([pre_pth5_target] = ""1"" or [pre_pth5_target] = ""11"")",y,,,,,
pre_pth5_is_mrsa,pretreatment_beta,,yesno,[Pathogen 5] MRSA?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target] = ""4""",y,,,,,
pre_pth5_is_vre,pretreatment_beta,,yesno,[Pathogen 5] VRE?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target] = ""16""",y,,,,,
pre_pth5_status,pretreatment_beta,,radio,[Pathogen 5] Confirmed or Suspected pathogen?,"confirmed, Confirmed (isolated from site of infection) | suspected, Suspected",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target]",y,,,,,
pre_pth5_iso_site,pretreatment_beta,,checkbox,[Pathogen 5] Site(s) of isolation,"1, Blood | 2, Sputum/endotracheal aspirate | 3, BAL fluid | 4, Joint aspirate/washout fluid | 5, Non-operative aspirate | 6, CSF | 7, Urine | 11, Intra-operative pus | 12, Intra-operative tissue | 13, Non-operative swab",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target]",y,,,,,
pre_pth5_iso_site_pus,pretreatment_beta,,text,[Pathogen 5] Specify Intra-operative pus site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_iso_site(11)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth5_iso_site_tissue,pretreatment_beta,,text,[Pathogen 5] Specify Intra-operative tissue type,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_iso_site(12)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth5_iso_site_swab,pretreatment_beta,,text,[Pathogen 5] Specify Non-operative swab site,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_iso_site(13)] = '1'",y,,,,,@CHARLIMIT='50'
pre_pth5_has_wgs,pretreatment_beta,,yesno,[Pathogen 5] Is WGS data available?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target]",y,,,,,
pre_pth5_wgs_loc,pretreatment_beta,,notes,[Pathogen 5] Where is the WGS data stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_has_wgs] = '1'",y,,,,,
pre_pth5_has_isolate,pretreatment_beta,,yesno,[Pathogen 5] Is the isolate available for further testing?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_target]",y,,,,,
pre_pth5_isoloc,pretreatment_beta,,notes,[Pathogen 5] Where is the isolate stored?,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_pth5_has_isolate] = '1'",y,,,,,
pre_num_phage,pretreatment_beta,Phages,radio,How many phages will be used?,"1,1 | 2,2 | 3,3 | 4,4 | 5,5 | -1, Proprietary cocktail | 0, Unable to define separately",,,,,,,y,,,,,
pre_phage1_descriptive,pretreatment_beta,,descriptive,"<div class=""header"">Phage 1</div>",,,,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",,,,,,
pre_phage1_name,pretreatment_beta,,text,[Phage 1] Phage 1 name or identifier,,,,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",y,,,,,
pre_phage1_active_target,pretreatment_beta,,radio,[Phage 1] Active against,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other",,,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",y,,,,,
pre_phage1_active_tgt_spc,pretreatment_beta,,text,[Phage 1] Active against species name,"1, E. coli | 2, P. aeruginosa | 3, M. abscessus | 4, S. aureus | 11, Klebsiella species | 12, Acinetobacter species | 13, Shigella species | 14, Enterobacter species | 15, Salmonella species | 16, Enterococcus species | 17, Other staphylococci | 18, Other mycobacteria | 19, Other","Enter both genus and species name, e.g. (Pseudomonas aeruginosa)",,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_phage1_active_target]) > 10",,,,,,@CHARLIMIT='50'
pre_phage1_eop,pretreatment_beta,,radio,[Phage 1] EOP,"1, >= 0.9 | 2, 0.5-0.899 | 3, 0.1-0.499 | 4, <0.1",,,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",y,,,,,
pre_phage1_source,pretreatment_beta,,notes,[Phage 1] Source/supplier,,,,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",y,,,,,
pre_phage1_endotox,pretreatment_beta,,text,[Phage 1] Endotoxin level (XXXX.X EU/mL),,,number_1dp,,,,"[sc_meets_inclusion] = ""1"" and abs([pre_num_phage]) > 0",y,,,,,
